,0
467,"3, 8064, Note_on_c, 0, 63, 0
"
468,"3, 8064, Note_on_c, 0, 69, 0
"
469,"3, 8064, Note_on_c, 0, 52, 91
"
470,"3, 8064, Note_on_c, 0, 58, 91
"
471,"3, 8064, Note_on_c, 0, 62, 91
"
472,"3, 8064, Note_on_c, 0, 69, 110
"
473,"3, 8160, Note_on_c, 0, 70, 91
"
474,"3, 8256, Note_on_c, 0, 52, 0
"
475,"3, 8256, Note_on_c, 0, 58, 0
"
476,"3, 8256, Note_on_c, 0, 62, 0
"
477,"3, 8256, Note_on_c, 0, 70, 0
"
478,"3, 8256, Note_on_c, 0, 58, 91
"
479,"3, 8256, Note_on_c, 0, 61, 91
"
480,"3, 8256, Note_on_c, 0, 64, 91
"
481,"3, 8256, Note_on_c, 0, 69, 91
"
482,"3, 8352, Note_on_c, 0, 69, 0
"
483,"3, 8352, Note_on_c, 0, 58, 0
"
484,"3, 8352, Note_on_c, 0, 61, 0
"
485,"3, 8352, Note_on_c, 0, 64, 0
"
486,"3, 8352, Note_on_c, 0, 69, 0
"
487,"3, 8352, Note_on_c, 0, 57, 91
"
488,"3, 8352, Note_on_c, 0, 64, 91
"
489,"3, 8352, Note_on_c, 0, 67, 91
"
490,"3, 8352, Note_on_c, 0, 76, 110
"
491,"3, 8400, Note_on_c, 0, 76, 0
"
492,"3, 8400, Note_on_c, 0, 72, 110
"
493,"3, 8448, Note_on_c, 0, 72, 0
"
494,"3, 8448, Note_on_c, 0, 72, 110
"
495,"3, 8544, Note_on_c, 0, 64, 0
"
496,"3, 8544, Note_on_c, 0, 67, 0
"
497,"3, 8544, Note_on_c, 0, 60, 91
"
498,"3, 8544, Note_on_c, 0, 64, 91
"
499,"3, 8544, Note_on_c, 0, 67, 91
"
500,"3, 8592, Note_on_c, 0, 72, 0
"
501,"3, 8592, Note_on_c, 0, 69, 110
"
502,"3, 8640, Note_on_c, 0, 57, 0
"
503,"3, 8640, Note_on_c, 0, 60, 0
"
504,"3, 8640, Note_on_c, 0, 64, 0
"
505,"3, 8640, Note_on_c, 0, 67, 0
"
506,"3, 8640, Note_on_c, 0, 69, 0
"
507,"3, 8640, Note_on_c, 0, 55, 91
"
508,"3, 8640, Note_on_c, 0, 61, 91
"
509,"3, 8640, Note_on_c, 0, 65, 91
"
510,"3, 8640, Note_on_c, 0, 69, 110
"
511,"3, 8672, Note_on_c, 0, 72, 91
"
512,"3, 8704, Note_on_c, 0, 72, 0
"
513,"3, 8704, Note_on_c, 0, 77, 91
"
514,"3, 8736, Note_on_c, 0, 77, 0
"
515,"3, 8736, Note_on_c, 0, 81, 91
"
516,"3, 8864, Note_on_c, 0, 81, 0
"
517,"3, 8864, Note_on_c, 0, 79, 91
"
518,"3, 8928, Note_on_c, 0, 55, 0
"
519,"3, 8928, Note_on_c, 0, 61, 0
"
