,0
487,"2, 9600, Note_on_c, 0, 64, 110
"
488,"2, 9600, Note_on_c, 0, 36, 107
"
489,"2, 9600, Note_on_c, 0, 36, 90
"
490,"2, 9696, Note_on_c, 0, 64, 0
"
491,"2, 9696, Note_on_c, 0, 67, 110
"
492,"2, 9739, Note_on_c, 0, 36, 0
"
493,"2, 9744, Note_on_c, 0, 43, 90
"
494,"2, 9790, Note_on_c, 0, 43, 0
"
495,"2, 9792, Note_on_c, 0, 67, 0
"
496,"2, 9792, Note_on_c, 0, 43, 90
"
497,"2, 9792, Note_on_c, 0, 72, 110
"
498,"2, 9888, Note_on_c, 0, 72, 0
"
499,"2, 9888, Note_on_c, 0, 74, 110
"
500,"2, 9936, Note_on_c, 0, 74, 0
"
501,"2, 9936, Note_on_c, 0, 72, 110
"
502,"2, 9978, Note_on_c, 0, 43, 0
"
503,"2, 9984, Note_on_c, 0, 36, 0
"
504,"2, 9984, Note_on_c, 0, 54, 90
"
505,"2, 10032, Note_on_c, 0, 72, 0
"
506,"2, 10032, Note_on_c, 0, 72, 110
"
507,"2, 10128, Note_on_c, 0, 60, 107
"
508,"2, 10224, Note_on_c, 0, 60, 0
"
509,"2, 10224, Note_on_c, 0, 63, 107
"
510,"2, 10356, Note_on_c, 0, 54, 0
"
511,"2, 10368, Note_on_c, 0, 72, 0
"
512,"2, 10368, Note_on_c, 0, 63, 0
"
513,"2, 10368, Note_on_c, 0, 56, 107
"
514,"2, 10368, Note_on_c, 0, 41, 90
"
515,"2, 10368, Note_on_c, 0, 56, 110
"
516,"2, 10464, Note_on_c, 0, 56, 0
"
517,"2, 10464, Note_on_c, 0, 60, 107
"
